date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:30	14/14	---M--	200	added ('OK')	text/plain	date:Sat,%2009%20Jun%202018%2014:37:39%20GMT	https://www.leconcertlitteraire.fr/robots.txt		(from )
14:05:30	15733/15733	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Oct%202018%2012:05:30%20GMT	https://www.leconcertlitteraire.fr/	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/index.html	(from )
14:05:31	5807/5807	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Jul%202018%2013:53:05%20GMT	https://www.leconcertlitteraire.fr/index.css	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/index.css	(from https://www.leconcertlitteraire.fr/)
14:05:31	86927/86927	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2008%20Jun%202018%2023:25:51%20GMT	https://www.leconcertlitteraire.fr/jquery.js	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/jquery.js	(from https://www.leconcertlitteraire.fr/)
14:05:31	62196/62196	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Jul%202018%2014:54:24%20GMT	https://www.leconcertlitteraire.fr/220x335/Caroline.jpg	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/220x335/Caroline.jpg	(from https://www.leconcertlitteraire.fr/)
14:05:31	96400/96400	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Jul%202018%2014:54:25%20GMT	https://www.leconcertlitteraire.fr/220x335/Juliette.jpg	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/220x335/Juliette.jpg	(from https://www.leconcertlitteraire.fr/)
14:05:32	72667/72667	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Jul%202018%2014:54:25%20GMT	https://www.leconcertlitteraire.fr/220x335/Nathalie.jpg	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/220x335/Nathalie.jpg	(from https://www.leconcertlitteraire.fr/)
14:05:32	2470331/2470331	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Jun%202018%2023:25:45%20GMT	https://leconcertlitteraire.fr/Home.jpg	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/leconcertlitteraire.fr/Home.jpg	(from https://www.leconcertlitteraire.fr/)
14:05:32	102438/102438	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Jul%202018%2014:54:25%20GMT	https://www.leconcertlitteraire.fr/220x335/Claire.jpg	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/220x335/Claire.jpg	(from https://www.leconcertlitteraire.fr/)
14:05:32	74835/74835	---M--	200	added ('OK')	image/jpeg	date:Sun,%2008%20Jul%202018%2014:54:24%20GMT	https://www.leconcertlitteraire.fr/220x335/Anais.jpg	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/220x335/Anais.jpg	(from https://www.leconcertlitteraire.fr/)
14:05:32	3491/3491	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Jun%202018%2023:25:50%20GMT	https://www.leconcertlitteraire.fr/facebook.png	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/facebook.png	(from https://www.leconcertlitteraire.fr/)
14:05:32	3573/3573	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Jun%202018%2023:25:51%20GMT	https://www.leconcertlitteraire.fr/youtube.png	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/youtube.png	(from https://www.leconcertlitteraire.fr/)
14:05:33	13440/13440	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Oct%202018%2012:05:33%20GMT	https://www.leconcertlitteraire.fr/team.html?m=	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/team73f5.html	(from https://www.leconcertlitteraire.fr/)
14:05:33	21868/21868	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2008%20Jun%202018%2023:25:51%20GMT	https://www.leconcertlitteraire.fr/spinnaker.ttf	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/spinnaker.ttf	(from https://www.leconcertlitteraire.fr/index.css)
14:05:33	30192/30192	---M--	200	added ('OK')	application/x-font-woff	date:Fri,%2008%20Jun%202018%2023:25:51%20GMT	https://www.leconcertlitteraire.fr/linotype.woff	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/linotype.woff	(from https://www.leconcertlitteraire.fr/index.css)
14:05:34	470084/470084	---M--	200	added ('OK')	application/x-font-ttf	date:Fri,%2008%20Jun%202018%2023:25:51%20GMT	https://www.leconcertlitteraire.fr/palatino.ttf	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/palatino.ttf	(from https://www.leconcertlitteraire.fr/index.css)
14:05:34	31087/31087	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jul%202018%2013:52:46%20GMT	https://www.leconcertlitteraire.fr/220x335/Concept.jpg	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/220x335/Concept.jpg	(from https://www.leconcertlitteraire.fr/index.css)
14:05:34	86181/86181	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jul%202018%2013:52:47%20GMT	https://www.leconcertlitteraire.fr/330x440/Caroline.jpg	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/330x440/Caroline.jpg	(from https://www.leconcertlitteraire.fr/team.html?m=)
14:05:34	101845/101845	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jul%202018%2013:52:47%20GMT	https://www.leconcertlitteraire.fr/330x440/Nathalie.jpg	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/330x440/Nathalie.jpg	(from https://www.leconcertlitteraire.fr/team.html?m=)
14:05:34	130592/130592	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jul%202018%2013:52:47%20GMT	https://www.leconcertlitteraire.fr/330x440/Juliette.jpg	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/330x440/Juliette.jpg	(from https://www.leconcertlitteraire.fr/team.html?m=)
14:05:35	146884/146884	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jul%202018%2013:52:47%20GMT	https://www.leconcertlitteraire.fr/330x440/Claire.jpg	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/330x440/Claire.jpg	(from https://www.leconcertlitteraire.fr/team.html?m=)
14:05:35	106285/106285	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jul%202018%2013:52:47%20GMT	https://www.leconcertlitteraire.fr/330x440/Anais.jpg	C:/Users/srastgar/Desktop/Elnaz%20Web%20Site/Elnaz/www.leconcertlitteraire.fr/330x440/Anais.jpg	(from https://www.leconcertlitteraire.fr/team.html?m=)
